business_date,sku,sale_price,qty_sold,on_promo
2026-05-25,BKY-001,4.94,12,1
2026-05-26,BKY-001,5.49,16,0
2026-05-27,BKY-001,5.49,13,0
2026-05-28,BKY-001,4.39,20,1
2026-05-29,BKY-001,5.49,16,0
2026-05-30,BKY-001,5.49,16,0
2026-05-31,BKY-001,5.49,17,0
2026-06-01,BKY-001,5.49,13,0
2026-06-02,BKY-001,5.49,14,0
2026-06-03,BKY-001,3.84,31,1
2026-06-04,BKY-001,5.49,14,0
2026-06-05,BKY-001,5.49,19,0
2026-06-06,BKY-001,4.39,31,1
2026-06-07,BKY-001,5.49,17,0
2026-06-08,BKY-001,3.84,25,1
2026-06-09,BKY-001,5.49,16,0
2026-06-10,BKY-001,5.49,12,0
2026-06-11,BKY-001,5.49,13,0
2026-06-12,BKY-001,5.49,15,0
2026-06-13,BKY-001,5.49,17,0
2026-06-14,BKY-001,5.49,14,0
2026-06-15,BKY-001,5.49,16,0
2026-06-16,BKY-001,3.84,41,1
2026-06-17,BKY-001,5.49,22,0
2026-06-18,BKY-001,5.49,12,0
2026-06-19,BKY-001,5.49,16,0
2026-06-20,BKY-001,5.49,19,0
2026-06-21,BKY-001,5.49,16,0
2026-06-22,BKY-001,5.49,15,0
2026-06-23,BKY-001,5.49,13,0
2026-06-24,BKY-001,5.49,12,0
2026-06-25,BKY-001,5.49,11,0
2026-06-26,BKY-001,5.49,18,0
2026-06-27,BKY-001,5.49,17,0
2026-06-28,BKY-001,5.49,17,0
2026-06-29,BKY-001,5.49,12,0
2026-06-30,BKY-001,5.49,13,0
2026-07-01,BKY-001,5.49,15,0
2026-07-02,BKY-001,5.49,12,0
2026-07-03,BKY-001,4.39,28,1
2026-07-04,BKY-001,5.49,16,0
2026-07-05,BKY-001,5.49,17,0
2026-07-06,BKY-001,5.49,12,0
2026-07-07,BKY-001,5.49,12,0
2026-07-08,BKY-001,5.49,16,0
2026-07-09,BKY-001,4.94,12,1
2026-07-10,BKY-001,5.49,14,0
2026-07-11,BKY-001,5.49,15,0
2026-07-12,BKY-001,5.49,13,0
2026-07-13,BKY-001,5.49,10,0
2026-07-14,BKY-001,5.49,17,0
2026-07-15,BKY-001,5.49,18,0
2026-07-16,BKY-001,5.49,14,0
2026-07-17,BKY-001,5.49,15,0
2026-07-18,BKY-001,3.84,21,1
2026-07-19,BKY-001,5.49,14,0
2026-07-20,BKY-001,5.49,19,0
2026-07-21,BKY-001,5.49,16,0
2026-07-22,BKY-001,4.39,23,1
2026-07-23,BKY-001,5.49,13,0
2026-07-24,BKY-001,5.49,17,0
2026-07-25,BKY-001,5.49,21,0
2026-07-26,BKY-001,5.49,22,0
2026-07-27,BKY-001,5.49,12,0
2026-07-28,BKY-001,5.49,11,0
2026-07-29,BKY-001,5.49,11,0
2026-07-30,BKY-001,5.49,20,0
2026-07-31,BKY-001,5.49,19,0
2026-08-01,BKY-001,4.94,26,1
2026-08-02,BKY-001,4.94,20,1
2026-08-03,BKY-001,5.49,12,0
2026-08-04,BKY-001,5.49,19,0
2026-08-05,BKY-001,5.49,14,0
2026-08-06,BKY-001,5.49,11,0
2026-08-07,BKY-001,4.39,18,1
2026-08-08,BKY-001,5.49,12,0
2026-08-09,BKY-001,5.49,11,0
2026-08-10,BKY-001,3.84,32,1
2026-08-11,BKY-001,4.39,25,1
2026-08-12,BKY-001,4.94,28,1
2026-08-13,BKY-001,5.49,16,0
2026-08-14,BKY-001,5.49,12,0
2026-08-15,BKY-001,5.49,17,0
2026-08-16,BKY-001,5.49,14,0
2026-08-17,BKY-001,5.49,12,0
2026-08-18,BKY-001,5.49,18,0
2026-08-19,BKY-001,5.49,14,0
2026-08-20,BKY-001,5.49,17,0
2026-08-21,BKY-001,5.49,17,0
2026-08-22,BKY-001,3.84,39,1
2026-05-25,BKY-002,4.29,15,0
2026-05-26,BKY-002,4.29,17,0
2026-05-27,BKY-002,3.43,23,1
2026-05-28,BKY-002,4.29,18,0
2026-05-29,BKY-002,4.29,15,0
2026-05-30,BKY-002,4.29,19,0
2026-05-31,BKY-002,4.29,14,0
2026-06-01,BKY-002,3.0,32,1
2026-06-02,BKY-002,3.0,29,1
2026-06-03,BKY-002,4.29,17,0
2026-06-04,BKY-002,3.86,20,1
2026-06-05,BKY-002,4.29,19,0
2026-06-06,BKY-002,3.86,26,1
2026-06-07,BKY-002,4.29,19,0
2026-06-08,BKY-002,4.29,17,0
2026-06-09,BKY-002,4.29,13,0
2026-06-10,BKY-002,4.29,14,0
2026-06-11,BKY-002,4.29,16,0
2026-06-12,BKY-002,3.0,24,1
2026-06-13,BKY-002,4.29,14,0
2026-06-14,BKY-002,4.29,17,0
2026-06-15,BKY-002,4.29,17,0
2026-06-16,BKY-002,4.29,14,0
2026-06-17,BKY-002,4.29,13,0
2026-06-18,BKY-002,3.0,30,1
2026-06-19,BKY-002,4.29,21,0
2026-06-20,BKY-002,3.86,18,1
2026-06-21,BKY-002,3.86,26,1
2026-06-22,BKY-002,4.29,23,0
2026-06-23,BKY-002,4.29,19,0
2026-06-24,BKY-002,4.29,13,0
2026-06-25,BKY-002,4.29,18,0
2026-06-26,BKY-002,4.29,13,0
2026-06-27,BKY-002,4.29,20,0
2026-06-28,BKY-002,3.0,35,1
2026-06-29,BKY-002,4.29,17,0
2026-06-30,BKY-002,3.43,28,1
2026-07-01,BKY-002,4.29,20,0
2026-07-02,BKY-002,4.29,12,0
2026-07-03,BKY-002,3.43,18,1
2026-07-04,BKY-002,4.29,19,0
2026-07-05,BKY-002,3.86,15,1
2026-07-06,BKY-002,4.29,16,0
2026-07-07,BKY-002,4.29,18,0
2026-07-08,BKY-002,4.29,15,0
2026-07-09,BKY-002,4.29,16,0
2026-07-10,BKY-002,4.29,15,0
2026-07-11,BKY-002,4.29,15,0
2026-07-12,BKY-002,4.29,24,0
2026-07-13,BKY-002,3.86,15,1
2026-07-14,BKY-002,4.29,19,0
2026-07-15,BKY-002,3.43,25,1
2026-07-16,BKY-002,4.29,14,0
2026-07-17,BKY-002,4.29,14,0
2026-07-18,BKY-002,3.43,33,1
2026-07-19,BKY-002,4.29,19,0
2026-07-20,BKY-002,4.29,18,0
2026-07-21,BKY-002,4.29,16,0
2026-07-22,BKY-002,3.86,24,1
2026-07-23,BKY-002,4.29,16,0
2026-07-24,BKY-002,4.29,16,0
2026-07-25,BKY-002,4.29,16,0
2026-07-26,BKY-002,4.29,18,0
2026-07-27,BKY-002,4.29,14,0
2026-07-28,BKY-002,4.29,17,0
2026-07-29,BKY-002,4.29,14,0
2026-07-30,BKY-002,4.29,19,0
2026-07-31,BKY-002,4.29,14,0
2026-08-01,BKY-002,4.29,19,0
2026-08-02,BKY-002,4.29,17,0
2026-08-03,BKY-002,4.29,13,0
2026-08-04,BKY-002,4.29,14,0
2026-08-05,BKY-002,3.43,27,1
